TS,RxID,RSSI,SNR
0,1,-100.5,16
252,2,-100.5,17
504,3,-100.5,17
1008,5,-100.5,16
1260,6,-101.6,16
1764,8,-100.5,16
2016,9,-100.5,16
2268,10,-100.5,16
2772,12,-100.5,16
3024,13,-100.5,16
3528,15,-100.5,15
3780,16,-100.5,16
4032,17,-101.6,16
4536,19,-100.5,16
4788,20,-101.6,16
5292,22,-101.6,16
5544,23,-100.5,16
5796,24,-101.6,15
6300,26,-100.5,16
6552,27,-100.5,16
7056,29,-100.5,15
7308,30,-101.6,16
7560,31,-100.5,16
8064,33,-100.5,16
8316,34,-100.5,16
8820,36,-100.5,15
9072,37,-100.5,16
9324,38,-101.6,15
9828,40,-100.5,15
10080,41,-100.5,16
10584,43,-100.5,14
10836,44,-100.5,15
11088,45,-100.5,16
11592,47,-101.6,16
11844,48,-101.6,15
12348,50,-101.6,15
12600,51,-101.6,15
12852,52,-101.6,16
13356,54,-101.6,16
13608,55,-101.6,16
14112,57,-100.5,15
14364,58,-100.5,16
14616,59,-101.6,16
15120,61,-100.5,16
15372,62,-101.6,16
15876,64,-100.5,15
16128,65,-101.6,17
16380,66,-101.6,16
16884,68,-100.5,16
17136,69,-100.5,16
17640,71,-101.6,15
17892,72,-100.5,15
18144,73,-100.5,16
18648,75,-100.5,16
18900,76,-101.6,16
19404,78,-101.6,15
19656,79,-101.6,16
19908,80,-101.6,15
20412,82,-101.6,16
20664,83,-100.5,15
21168,85,-100.5,15
21420,86,-101.6,16
21672,87,-101.6,16
22176,89,-100.5,16
22428,90,-100.5,17
22932,92,-100.5,15
23184,93,-100.5,16
23436,94,-100.5,16
23940,96,-100.5,16
24192,97,-100.5,16
24696,99,-99.4,15
24948,100,-100.5,16
25200,101,-99.4,17
25704,103,-100.5,15
25956,104,-100.5,17
26460,106,-99.4,15
26712,107,-100.5,17
26964,108,-100.5,16
27468,110,-100.5,17
27720,111,-100.5,16
28224,113,-100.5,15
28476,114,-100.5,16
28728,115,-100.5,16
29232,117,-100.5,16
29484,118,-100.5,16
29988,120,-99.4,16
30240,121,-99.4,16
30492,122,-100.5,16
30996,124,-100.5,17
31248,125,-100.5,16
31752,127,-99.4,16
32004,128,-100.5,17
32256,129,-99.4,16
32760,131,-99.4,16
