TS,RxID,RSSI,SNR
0,1,-94.3,9
514,2,-92.1,8
1028,3,-92.1,9
1542,4,-91.0,9
2056,5,-91.0,8
2570,6,-92.1,9
3084,7,-92.1,9
3598,8,-93.2,9
4112,9,-92.1,9
4626,10,-92.1,9
5140,11,-94.3,10
5655,12,-92.1,9
6169,13,-92.1,10
6683,14,-93.2,9
7197,15,-92.1,9
7711,16,-93.2,9
8225,17,-93.2,9
8739,18,-92.1,9
9253,19,-92.1,9
9767,20,-93.2,10
10281,21,-92.1,10
10795,22,-93.2,10
11309,23,-92.1,10
11823,24,-93.2,10
12337,25,-92.1,10
12851,26,-92.1,9
13365,27,-94.3,10
13879,28,-93.2,10
14393,29,-92.1,9
14907,30,-92.1,9
15421,31,-92.1,9
15935,32,-92.1,8
16449,33,-93.2,8
16963,34,-92.1,8
17477,35,-92.1,8
17991,36,-92.1,8
18505,37,-91.0,9
19019,38,-91.0,8
19533,39,-92.1,8
20047,40,-93.2,8
20561,41,-92.1,9
21075,42,-92.1,8
21589,43,-93.2,9
22103,44,-91.0,8
22617,45,-92.1,8
23131,46,-89.9,8
23645,47,-92.1,8
24159,48,-93.2,8
24673,49,-93.2,9
25187,50,-92.1,9
25701,51,-92.1,9
26215,52,-92.1,9
26729,53,-92.1,9
27243,54,-92.1,8
27757,55,-92.1,9
28271,56,-91.0,9
28785,57,-91.0,8
29299,58,-91.0,8
29813,59,-93.2,8
30327,60,-92.1,8
30841,61,-92.1,8
31355,62,-93.2,8
31869,63,-92.1,8
32383,64,-91.0,8
32897,65,-91.0,8
33411,66,-92.1,8
33925,67,-91.0,8
34439,68,-91.0,8
34953,69,-91.0,9
35467,70,-92.1,9
35981,71,-91.0,8
36495,72,-92.1,8
37009,73,-92.1,8
37523,74,-92.1,8
38037,75,-93.2,12
38551,76,-92.1,10
39065,77,-92.1,9
39579,78,-92.1,8
40093,79,-92.1,9
40607,80,-92.1,8
41121,81,-91.0,9
41635,82,-91.0,9
42149,83,-92.1,10
42663,84,-91.0,10
43177,85,-93.2,11
43691,86,-93.2,12
44205,87,-92.1,11
44719,88,-92.1,10
45233,89,-93.2,10
45747,90,-91.0,10
46261,91,-92.1,10
46775,92,-93.2,10
47289,93,-92.1,10
47803,94,-92.1,10
48317,95,-92.1,10
48831,96,-93.2,10
49345,97,-92.1,9
49859,98,-92.1,8
50373,99,-92.1,8
50887,100,-91.0,9
51401,101,-91.0,8
51915,102,-92.1,10
52429,103,-93.2,9
52943,104,-92.1,10
53457,105,-93.2,10
53971,106,-92.1,10
54485,107,-94.3,9
54999,108,-92.1,9
55513,109,-92.1,9
56027,110,-93.2,10
56541,111,-92.1,10
57055,112,-93.2,10
57569,113,-93.2,10
58083,114,-92.1,10
58597,115,-92.1,10
59111,116,-93.2,10
59625,117,-93.2,8
60139,118,-93.2,8
60653,119,-93.2,10
61167,120,-93.2,10
61681,121,-91.0,10
62195,122,-92.1,10
62709,123,-93.2,10
63223,124,-92.1,9
63737,125,-92.1,9
64251,126,-93.2,10
64765,127,-92.1,9
65279,128,-93.2,10
65793,129,-92.1,10
66307,130,-93.2,10
66821,131,-92.1,9
67335,132,-92.1,9
67849,133,-92.1,9
68363,134,-92.1,8
68877,135,-92.1,8
69391,136,-92.1,8
69905,137,-92.1,9
70419,138,-92.1,9
70933,139,-91.0,9
71447,140,-91.0,10
71961,141,-93.2,9
72475,142,-92.1,10
72989,143,-93.2,10
73503,144,-92.1,10
74017,145,-92.1,10
74531,146,-92.1,10
75045,147,-93.2,10
75559,148,-92.1,11
76073,149,-92.1,10
76587,150,-92.1,9
77101,151,-91.0,9
77615,152,-91.0,8
78129,153,-91.0,7
78643,154,-91.0,8
79157,155,-92.1,7
79671,156,-92.1,8
80185,157,-93.2,10
80699,158,-91.0,7
81213,159,-92.1,8
81727,160,-92.1,7
82241,161,-93.2,8
82755,162,-91.0,8
83269,163,-91.0,7
83783,164,-91.0,8
84297,165,-91.0,8
84811,166,-92.1,9
85325,167,-94.3,7
85839,168,-94.3,8
86353,169,-92.1,10
86867,170,-92.1,9
87381,171,-93.2,11
87895,172,-92.1,8
88409,173,-89.9,9
88923,174,-96.5,9
89437,175,-92.1,10
89951,176,-93.2,10
90465,177,-95.4,8
90979,178,-92.1,10
91493,179,-92.1,11
92007,180,-91.0,11
92521,181,-94.3,8
93035,182,-96.5,6
93549,183,-98.7,7
94063,184,-102.0,5
94577,185,-102.0,8
95091,186,-95.4,8
95605,187,-94.3,11
96119,188,-94.3,14
96633,189,-95.4,11
97147,190,-94.3,11
97661,191,-94.3,10
98175,192,-95.4,10
98689,193,-95.4,10
99203,194,-92.1,9
99717,195,-93.2,10
100231,196,-92.1,9
100745,197,-94.3,10
101259,198,-94.3,12
101773,199,-96.5,13
102287,200,-95.4,13
102801,201,-95.4,13
103315,202,-94.3,11
103829,203,-94.3,9
104343,204,-93.2,9
104857,205,-93.2,8
105371,206,-93.2,11
105885,207,-92.1,8
106399,208,-93.2,8
106913,209,-94.3,9
107427,210,-93.2,9
107941,211,-93.2,9
108455,212,-93.2,9
108969,213,-95.4,9
109483,214,-93.2,9
109997,215,-93.2,9
110511,216,-92.1,9
111025,217,-93.2,9
111539,218,-93.2,9
112053,219,-94.3,9
112567,220,-92.1,8
113081,221,-92.1,9
113595,222,-95.4,9
114109,223,-93.2,9
114623,224,-92.1,9
115137,225,-93.2,8
115651,226,-94.3,8
116165,227,-93.2,9
116679,228,-93.2,9
117193,229,-92.1,9
117707,230,-93.2,10
118221,231,-93.2,9
118735,232,-93.2,9
119249,233,-93.2,12
